Timestamp,Event Type,Duration (s),Details
2026-04-18 23:04:14,DISTRACTION,3.46,Yaw: -14
2026-04-18 23:04:22,SNAPSHOT_SAVED,0,crisis_logs/CRISIS_DROWSY_20260418_230422.jpg
2026-04-18 23:04:22,DROWSY,3.26,EAR: 0.28
2026-04-18 23:05:12,DISTRACTION,15.39,Yaw: -22
2026-04-18 23:05:23,YAWN,7.61,
2026-04-18 23:05:23,DISTRACTION,7.61,Yaw: -15
2026-04-18 23:05:28,SNAPSHOT_SAVED,0,crisis_logs/CRISIS_DROWSY_20260418_230528.jpg
2026-04-18 23:05:29,DROWSY,4.16,EAR: 0.21
2026-04-18 23:05:37,DISTRACTION,3.57,Yaw: 11
2026-04-18 23:05:42,DISTRACTION,5.27,Yaw: -20
2026-04-18 23:05:51,DISTRACTION,3.24,Yaw: 9
2026-04-21 20:13:49,SNAPSHOT_SAVED,0,crisis_logs/CRISIS_DROWSY_20260421_201349.jpg
2026-04-21 20:13:51,DROWSY,4.79,EAR: 0.27
2026-04-21 20:14:11,DISTRACTION,8.76,Yaw: 24
2026-04-21 20:14:11,YAWN,8.66,
2026-04-21 20:14:19,YAWN,5.23,
2026-04-21 20:14:19,DISTRACTION,5.62,Yaw: -19
2026-04-21 20:14:25,DISTRACTION,3.21,Yaw: -10
2026-04-21 20:14:34,SNAPSHOT_SAVED,0,crisis_logs/CRISIS_DROWSY_20260421_201434.jpg
2026-04-21 20:14:37,DROWSY,5.67,EAR: 0.24
2026-04-21 20:14:47,YAWN,5.02,
2026-04-21 20:14:48,DISTRACTION,6.9,Yaw: 2
2026-04-21 20:14:54,YAWN,3.74,
2026-04-21 20:14:54,DISTRACTION,3.31,Yaw: 5
2026-04-21 20:15:11,SNAPSHOT_SAVED,0,crisis_logs/CRISIS_DROWSY_20260421_201511.jpg
2026-04-21 20:15:12,DROWSY,4.12,EAR: 0.20
2026-04-21 20:15:25,YAWN,5.73,
2026-04-21 20:16:17,DROWSY,1.69,EAR: 0.20
2026-04-21 20:16:45,SNAPSHOT_SAVED,0,crisis_logs/CRISIS_DROWSY_20260421_201645.jpg
2026-04-21 20:16:45,DROWSY,2.84,EAR: 0.21
2026-04-21 20:16:53,DROWSY,1.93,EAR: 0.19
2026-04-21 20:17:06,DROWSY,2.65,EAR: 0.18
2026-04-21 20:18:16,SNAPSHOT_SAVED,0,crisis_logs/CRISIS_DROWSY_20260421_201816.jpg
2026-04-21 20:18:16,DROWSY,2.79,EAR: 0.31
2026-04-21 20:18:26,YAWN,5.03,
2026-04-21 20:18:26,DISTRACTION,4.97,Yaw: 7
2026-04-21 20:21:22,DISTRACTION,7.95,Yaw: -20
2026-04-21 20:21:35,DROWSY,6.55,EAR: 0.31
2026-04-21 20:21:45,YAWN,4.12,
2026-04-21 20:22:01,SNAPSHOT_SAVED,0,crisis_logs/CRISIS_DROWSY_20260421_202201.jpg
2026-04-21 20:22:03,DROWSY,4.34,EAR: 0.22
2026-04-21 20:22:09,YAWN,2.56,
2026-04-21 20:22:09,DISTRACTION,2.57,Yaw: 5
2026-04-21 20:22:15,SNAPSHOT_SAVED,0,crisis_logs/CRISIS_DROWSY_20260421_202215.jpg
2026-04-21 20:22:16,DROWSY,3.25,EAR: 0.23
2026-04-21 20:22:25,SNAPSHOT_SAVED,0,crisis_logs/CRISIS_DROWSY_20260421_202225.jpg
2026-04-21 20:22:25,DROWSY,3.03,EAR: 0.22
2026-04-21 20:35:26,YAWN,5.65,
2026-04-21 20:35:36,DROWSY,2.36,EAR: 0.26
2026-04-22 09:18:35,DROWSY,1.89,EAR: 0.25
2026-04-22 09:18:36,DISTRACTION,3.29,Yaw: 6
2026-04-22 09:18:42,DISTRACTION,3.43,Yaw: 22
2026-04-22 09:18:45,DISTRACTION,2.0,Yaw: 0
2026-04-22 09:18:45,DROWSY,2.27,EAR: 0.32
2026-04-22 09:18:47,DROWSY,1.46,EAR: 0.30
2026-04-22 09:18:52,YAWN,2.0,
2026-04-22 09:18:54,SNAPSHOT_SAVED,0,crisis_logs/CRISIS_DROWSY_20260422_091854.jpg
2026-04-22 09:18:57,DROWSY,5.69,EAR: 0.23
2026-04-22 09:19:01,DROWSY,2.69,EAR: 0.25
2026-04-22 09:19:06,DISTRACTION,2.66,Yaw: -5
2026-04-22 09:19:18,DISTRACTION,3.74,Yaw: 25
2026-04-22 09:19:22,SNAPSHOT_SAVED,0,crisis_logs/CRISIS_DROWSY_20260422_091922.jpg
2026-04-22 09:19:22,DROWSY,2.78,EAR: 0.24
2026-04-22 09:19:29,YAWN,3.21,
2026-04-22 09:19:39,DISTRACTION,3.78,Yaw: 22
2026-04-22 09:19:42,DISTRACTION,3.05,Yaw: 22
2026-04-22 09:19:43,YAWN,2.48,
2026-04-22 09:19:49,DROWSY,1.47,EAR: 0.29
2026-04-22 11:09:41,DROWSY,2.35,EAR: 0.26
2026-04-22 11:44:24,DROWSY,2.31,EAR: 0.25
